country,x,y
"Bahamas, The",2006,1522
"Bahamas, The",2007,1547
"Bahamas, The",2008,1045
"Bahamas, The",2009,1643
"Bahamas, The",2010,2464
Bosnia and Herzegovina,1993,2948
Bosnia and Herzegovina,1994,3231
Bosnia and Herzegovina,1995,3429
Bosnia and Herzegovina,1996,6051
Bosnia and Herzegovina,1997,14606
Bosnia and Herzegovina,1998,18812
Bosnia and Herzegovina,1999,18089
Bosnia and Herzegovina,2000,23223
Bosnia and Herzegovina,2001,20700
Bosnia and Herzegovina,2002,22919
Bosnia and Herzegovina,2003,23238
Bosnia and Herzegovina,2004,24617
Bosnia and Herzegovina,2005,25618
Bosnia and Herzegovina,2006,27169
Bosnia and Herzegovina,2007,27884
Bosnia and Herzegovina,2008,30997
Bosnia and Herzegovina,2009,30590
Bosnia and Herzegovina,2010,31125
Belarus,1993,74451
Belarus,1994,65914
Belarus,1995,62119
Belarus,1996,60157
Belarus,1997,59519
Belarus,1998,57598
Belarus,1999,55819
Belarus,2000,53469
Belarus,2001,52596
Belarus,2002,52390
Belarus,2003,53722
Belarus,2004,58038
Belarus,2005,59064
Belarus,2006,61829
Belarus,2007,60282
Belarus,2008,62816
Belarus,2009,60293
Belarus,2010,62222
Belize,1993,378
Belize,1994,374
Belize,1995,378
Belize,1996,308
Belize,1997,389
Belize,1998,370
Belize,1999,601
Belize,2000,689
Belize,2001,711
Belize,2002,359
Belize,2003,374
Belize,2004,381
Belize,2005,396
Belize,2006,407
Belize,2007,425
Belize,2008,407
Belize,2009,414
Belize,2010,422
Bermuda,1993,480
Bermuda,1994,473
Bermuda,1995,466
Bermuda,1996,477
Bermuda,1997,477
Bermuda,1998,462
Bermuda,1999,495
Bermuda,2000,495
Bermuda,2001,495
Bermuda,2002,524
Bermuda,2003,510
Bermuda,2004,671
Bermuda,2005,444
Bermuda,2006,521
Bermuda,2007,517
Bermuda,2008,389
Bermuda,2009,466
Bermuda,2010,477
Bolivia,1993,8038
Bolivia,1994,8907
Bolivia,1995,9424
Bolivia,1996,8735
Bolivia,1997,9842
Bolivia,1998,10326
Bolivia,1999,10312
Bolivia,2000,10224
Bolivia,2001,9824
Bolivia,2002,9567
Bolivia,2003,14129
